index,filename,latitude,longitude,datetime_str,image_datetime
0,no_fire_Bolivia_point_114.png,-16.5626,-63.2004,1660141651132,2022-08-10T14:27:31.132000+00:00
1,no_fire_Bolivia_point_214.png,-13.7907,-66.8908,1719413209641,2024-06-26T14:46:49.641000+00:00
2,no_fire_Bolivia_point_221.png,-13.7977,-66.8664,1723733209597,2024-08-15T14:46:49.597000+00:00
3,no_fire_Bolivia_point_222.png,-13.7851,-66.8864,1685717209924,2023-06-02T14:46:49.924000+00:00
4,no_fire_Bolivia_point_299.png,-16.5489,-60.6361,1690121848261,2023-07-23T14:17:28.261000+00:00
5,no_fire_Bolivia_point_953.png,-14.5097,-65.0704,1625841407257,2021-07-09T14:36:47.257000+00:00
6,no_fire_Bolivia_point_2436.png,-13.7041,-65.8274,1623941202734,2021-06-17T14:46:42.734000+00:00
7,no_fire_Bolivia_point_2437.png,-13.7126,-65.8403,1664117203220,2022-09-25T14:46:43.220000+00:00
8,no_fire_Bolivia_point_3909.png,-15.8878,-64.0255,1687185436183,2023-06-19T14:37:16.183000+00:00
9,no_fire_Bolivia_point_3910.png,-15.8863,-64.0355,1643553431844,2022-01-30T14:37:11.844000+00:00
10,no_fire_Bolivia_point_3911.png,-15.9956,-62.9393,1633617424356,2021-10-07T14:37:04.356000+00:00
11,no_fire_Bolivia_point_3936.png,-13.715,-63.5619,1625841401255,2021-07-09T14:36:41.255000+00:00
12,no_fire_Bolivia_point_3937.png,-13.7165,-63.552,1646145402872,2022-03-01T14:36:42.872000+00:00
13,no_fire_Bolivia_point_3938.png,-13.7181,-63.5421,1682865401585,2023-04-30T14:36:41.585000+00:00
14,no_fire_Bolivia_point_3939.png,-13.7196,-63.5322,1602945405103,2020-10-17T14:36:45.103000+00:00
15,no_fire_Bolivia_point_3940.png,-13.7258,-63.5534,1694097403814,2023-09-07T14:36:43.814000+00:00
16,no_fire_Bolivia_point_3941.png,-13.7273,-63.5435,1662129400789,2022-09-02T14:36:40.789000+00:00
17,no_fire_Bolivia_point_3942.png,-13.735,-63.5549,1664721398227,2022-10-02T14:36:38.227000+00:00
18,no_fire_Bolivia_point_3950.png,-13.9118,-63.1814,1697553401767,2023-10-17T14:36:41.767000+00:00
19,no_fire_Bolivia_point_3951.png,-13.9132,-63.1718,1615473398759,2021-03-11T14:36:38.759000+00:00
20,no_fire_Bolivia_point_3954.png,-14.2113,-62.7834,1599057399151,2020-09-02T14:36:39.151000+00:00
21,no_fire_Bolivia_point_3955.png,-14.2189,-62.7941,1695393397743,2023-09-22T14:36:37.743000+00:00
22,no_fire_Bolivia_point_3956.png,-14.2203,-62.7848,1716993398332,2024-05-29T14:36:38.332000+00:00
23,no_fire_Bolivia_point_3959.png,-14.3617,-62.5762,1669645599663,2022-11-28T14:26:39.663000+00:00
24,no_fire_Bolivia_point_4005.png,-15.8812,-64.0416,1605969428037,2020-11-21T14:37:08.037000+00:00
25,no_fire_Bolivia_point_4006.png,-15.8834,-64.0282,1655649443457,2022-06-19T14:37:23.457000+00:00
26,no_fire_Bolivia_point_4031.png,-14.3551,-62.5704,1592749603342,2020-06-21T14:26:43.342000+00:00
27,no_fire_Bolivia_point_4032.png,-14.3533,-62.5818,1609597601128,2021-01-02T14:26:41.128000+00:00
28,no_fire_Bolivia_point_4034.png,-14.2099,-62.7756,1699281398729,2023-11-06T14:36:38.729000+00:00
29,no_fire_Bolivia_point_4035.png,-14.208,-62.7873,1662561407415,2022-09-07T14:36:47.415000+00:00
