index,filename,latitude,longitude,datetime_str
1,no_fire_Bolivia_point_1.png,-13.7907,-66.8908,2024-07-01T14:31:00
4,no_fire_Bolivia_point_4.png,-16.5489,-60.6361,2024-07-15T13:52:00
3,no_fire_Bolivia_point_3.png,-13.7851,-66.8864,2024-06-01T06:55:00
0,no_fire_Bolivia_point_0.png,-16.5626,-63.2004,2024-02-04T06:37:00
5,no_fire_Bolivia_point_5.png,-14.5097,-65.0704,2023-12-26T13:56:00
6,no_fire_Bolivia_point_6.png,-13.7041,-65.8274,2023-07-22T14:05:00
7,no_fire_Bolivia_point_7.png,-13.7126,-65.8403,2023-12-19T14:05:00
8,no_fire_Bolivia_point_8.png,-15.8878,-64.0255,2024-05-09T13:38:00
10,no_fire_Bolivia_point_10.png,-15.9956,-62.9393,2023-12-31T13:38:00
9,no_fire_Bolivia_point_9.png,-15.8863,-64.0355,2023-12-01T13:38:00
11,no_fire_Bolivia_point_11.png,-13.715,-63.5619,2023-10-22T13:37:00
14,no_fire_Bolivia_point_14.png,-13.7196,-63.5322,2024-05-29T13:37:00
13,no_fire_Bolivia_point_13.png,-13.7181,-63.5421,2024-04-19T13:37:00
15,no_fire_Bolivia_point_15.png,-13.7258,-63.5534,2024-07-03T13:37:00
12,no_fire_Bolivia_point_12.png,-13.7165,-63.552,2024-01-25T13:37:00
16,no_fire_Bolivia_point_16.png,-13.7273,-63.5435,2024-02-19T13:37:00
18,no_fire_Bolivia_point_18.png,-13.9118,-63.1814,2024-07-18T13:37:00
17,no_fire_Bolivia_point_17.png,-13.735,-63.5549,2023-12-01T13:37:00
19,no_fire_Bolivia_point_19.png,-13.9132,-63.1718,2023-12-01T13:37:00
20,no_fire_Bolivia_point_20.png,-14.2113,-62.7834,2023-07-24T13:37:00
21,no_fire_Bolivia_point_21.png,-14.2189,-62.7941,2024-05-29T13:37:00
22,no_fire_Bolivia_point_22.png,-14.2203,-62.7848,2024-06-28T13:37:00
25,no_fire_Bolivia_point_25.png,-15.8834,-64.0282,2023-12-06T06:11:00
24,no_fire_Bolivia_point_24.png,-15.8812,-64.0416,2023-09-07T06:11:00
23,no_fire_Bolivia_point_23.png,-14.3617,-62.5762,2023-05-10T13:37:00
26,no_fire_Bolivia_point_26.png,-14.3551,-62.5704,2023-06-14T06:10:00
30,no_fire_Bolivia_point_30.png,-13.7233,-63.5517,2023-10-02T06:10:00
27,no_fire_Bolivia_point_27.png,-14.3533,-62.5818,2023-09-22T06:10:00
28,no_fire_Bolivia_point_28.png,-14.2099,-62.7756,2024-05-09T06:10:00
29,no_fire_Bolivia_point_29.png,-14.208,-62.7873,2024-01-25T06:10:00
31,no_fire_Bolivia_point_31.png,-13.715,-63.5365,2024-07-18T06:10:00
32,no_fire_Bolivia_point_32.png,-13.7127,-63.5498,2024-04-09T06:10:00
34,no_fire_Bolivia_point_34.png,-14.9779,-64.134,2023-12-11T06:10:00
33,no_fire_Bolivia_point_33.png,-14.9755,-64.1481,2023-12-11T06:10:00
35,no_fire_Bolivia_point_35.png,-14.0603,-65.9701,2023-12-09T13:52:00
36,no_fire_Bolivia_point_36.png,-14.0705,-65.9623,2024-04-22T13:52:00
37,no_fire_Bolivia_point_37.png,-14.0741,-66.0003,2023-08-26T13:52:00
38,no_fire_Bolivia_point_38.png,-14.0754,-65.9911,2023-09-25T13:52:00
39,no_fire_Bolivia_point_39.png,-12.4707,-64.8559,2024-05-17T13:51:00
40,no_fire_Bolivia_point_40.png,-12.4605,-64.8636,2023-11-29T13:51:00
41,no_fire_Bolivia_point_41.png,-12.4618,-64.8546,2024-02-07T13:51:00
42,no_fire_Bolivia_point_42.png,-14.2256,-62.5309,2023-11-11T13:30:00
43,no_fire_Bolivia_point_43.png,-14.2273,-62.52,2024-08-07T13:30:00
44,no_fire_Bolivia_point_44.png,-14.2265,-62.5173,2024-01-05T06:03:00
45,no_fire_Bolivia_point_45.png,-14.2241,-62.5315,2024-03-20T06:03:00
46,no_fire_Bolivia_point_46.png,-11.2421,-67.5728,2024-06-19T14:06:00
47,no_fire_Bolivia_point_47.png,-11.2993,-67.6894,2024-04-10T14:06:00
49,no_fire_Bolivia_point_49.png,-11.3019,-67.6712,2024-06-24T14:06:00
48,no_fire_Bolivia_point_48.png,-11.3006,-67.6803,2023-12-02T14:06:00
50,no_fire_Bolivia_point_50.png,-11.3082,-67.6907,2023-10-08T14:06:00
51,no_fire_Bolivia_point_51.png,-11.3095,-67.6816,2024-02-10T14:06:00
52,no_fire_Bolivia_point_52.png,-11.3108,-67.6725,2024-05-15T14:06:00
53,no_fire_Bolivia_point_53.png,-14.1862,-68.3712,2023-08-09T14:06:00
56,no_fire_Bolivia_point_56.png,-11.351,-67.2649,2024-01-21T06:39:00
54,no_fire_Bolivia_point_54.png,-14.1875,-68.3621,2024-05-10T14:06:00
57,no_fire_Bolivia_point_57.png,-11.3057,-67.6816,2024-07-24T06:39:00
58,no_fire_Bolivia_point_58.png,-11.3071,-67.6723,2023-11-22T06:39:00
59,no_fire_Bolivia_point_59.png,-12.8909,-64.7479,2024-06-08T13:26:00
61,no_fire_Bolivia_point_61.png,-12.9065,-64.7311,2024-01-25T13:26:00
60,no_fire_Bolivia_point_60.png,-12.9033,-64.75,2024-04-04T13:26:00
62,no_fire_Bolivia_point_62.png,-12.922,-64.7146,2023-11-26T13:26:00
63,no_fire_Bolivia_point_63.png,-13.1197,-64.7293,2023-12-11T13:26:00
64,no_fire_Bolivia_point_64.png,-13.7676,-64.6919,2024-02-04T13:26:00
65,no_fire_Bolivia_point_65.png,-13.7705,-64.6739,2024-02-04T13:26:00
66,no_fire_Bolivia_point_66.png,-13.7615,-64.6793,2024-07-03T13:26:00
67,no_fire_Bolivia_point_67.png,-13.7706,-64.6995,2024-08-02T13:26:00
68,no_fire_Bolivia_point_68.png,-13.7737,-64.6814,2023-08-13T13:26:00
69,no_fire_Bolivia_point_69.png,-13.7768,-64.6635,2023-11-16T13:26:00
70,no_fire_Bolivia_point_70.png,-13.8868,-64.7071,2024-07-03T13:26:00
71,no_fire_Bolivia_point_71.png,-14.0437,-63.9884,2024-01-30T13:26:00
72,no_fire_Bolivia_point_72.png,-14.196,-64.2287,2024-04-14T06:00:00
73,no_fire_Bolivia_point_73.png,-14.2031,-64.2373,2024-05-04T06:00:00
75,no_fire_Bolivia_point_75.png,-12.9714,-64.3684,2023-11-21T05:59:00
74,no_fire_Bolivia_point_74.png,-14.2072,-64.2153,2023-10-02T06:00:00
77,no_fire_Bolivia_point_77.png,-13.762,-64.673,2023-08-13T05:59:00
76,no_fire_Bolivia_point_76.png,-12.978,-64.375,2024-02-09T05:59:00
79,no_fire_Bolivia_point_79.png,-13.9007,-64.6874,2024-05-09T05:59:00
78,no_fire_Bolivia_point_78.png,-13.7653,-64.6816,2024-06-03T05:59:00
81,no_fire_Bolivia_point_81.png,-13.6305,-67.5411,2023-09-10T13:44:00
80,no_fire_Bolivia_point_80.png,-13.9295,-65.2332,2024-03-18T13:44:00
82,no_fire_Bolivia_point_82.png,-13.6327,-67.5274,2024-03-18T13:44:00
83,no_fire_Bolivia_point_83.png,-13.6248,-67.523,2023-10-05T06:17:00
84,no_fire_Bolivia_point_84.png,-13.2239,-67.7086,2023-09-03T14:02:00
85,no_fire_Bolivia_point_85.png,-13.2341,-67.7009,2024-02-25T14:02:00
87,no_fire_Bolivia_point_87.png,-15.5942,-65.4469,2024-03-20T13:23:00
86,no_fire_Bolivia_point_86.png,-15.5875,-65.4386,2023-05-20T13:23:00
89,no_fire_Bolivia_point_89.png,-15.7527,-65.5134,2024-04-14T13:23:00
88,no_fire_Bolivia_point_88.png,-15.7419,-65.5282,2024-02-14T13:23:00
91,no_fire_Bolivia_point_91.png,-14.24,-62.8294,2024-05-14T13:23:00
92,no_fire_Bolivia_point_92.png,-14.6223,-62.749,2023-12-26T13:23:00
90,no_fire_Bolivia_point_90.png,-16.2335,-64.6005,2024-02-24T13:23:00
93,no_fire_Bolivia_point_93.png,-13.8544,-63.8803,2023-09-22T13:22:00
94,no_fire_Bolivia_point_94.png,-13.2803,-63.129,2023-12-21T13:22:00
95,no_fire_Bolivia_point_95.png,-15.7504,-65.5312,2023-06-24T05:56:00
97,no_fire_Bolivia_point_97.png,-15.7372,-65.5238,2024-04-09T05:56:00
96,no_fire_Bolivia_point_96.png,-15.7524,-65.527,2024-02-24T05:56:00
99,no_fire_Bolivia_point_99.png,-14.4992,-63.7674,2024-01-15T05:56:00
102,no_fire_Bolivia_point_102.png,-14.6084,-62.7408,2024-03-30T05:56:00
