index,filename,country,latitude,longitude,datetime_str
0,no_fire_Bolivia_point_114.png,Bolivia,-16.5626,-63.2004,2024-02-04T06:37:00
1,no_fire_Bolivia_point_214.png,Bolivia,-13.7907,-66.8908,2024-07-01T14:31:00
2,no_fire_Bolivia_point_221.png,Bolivia,-13.7977,-66.8664,2024-11-18T06:55:00
3,no_fire_Bolivia_point_222.png,Bolivia,-13.7851,-66.8864,2024-06-01T06:55:00
4,no_fire_Bolivia_point_299.png,Bolivia,-16.5489,-60.6361,2024-07-15T13:52:00
5,no_fire_Bolivia_point_953.png,Bolivia,-14.5097,-65.0704,2023-12-26T13:56:00
6,no_fire_Bolivia_point_2436.png,Bolivia,-13.7041,-65.8274,2023-07-22T14:05:00
7,no_fire_Bolivia_point_2437.png,Bolivia,-13.7126,-65.8403,2023-12-19T14:05:00
8,no_fire_Bolivia_point_3909.png,Bolivia,-15.8878,-64.0255,2024-05-09T13:38:00
9,no_fire_Bolivia_point_3910.png,Bolivia,-15.8863,-64.0355,2023-12-01T13:38:00
10,no_fire_Bolivia_point_3911.png,Bolivia,-15.9956,-62.9393,2023-12-31T13:38:00
11,no_fire_Bolivia_point_3936.png,Bolivia,-13.715,-63.5619,2023-10-22T13:37:00
12,no_fire_Bolivia_point_3937.png,Bolivia,-13.7165,-63.552,2024-01-25T13:37:00
13,no_fire_Bolivia_point_3938.png,Bolivia,-13.7181,-63.5421,2024-04-19T13:37:00
14,no_fire_Bolivia_point_3939.png,Bolivia,-13.7196,-63.5322,2024-05-29T13:37:00
15,no_fire_Bolivia_point_3940.png,Bolivia,-13.7258,-63.5534,2024-07-03T13:37:00
16,no_fire_Bolivia_point_3941.png,Bolivia,-13.7273,-63.5435,2024-02-19T13:37:00
17,no_fire_Bolivia_point_3942.png,Bolivia,-13.735,-63.5549,2023-12-01T13:37:00
18,no_fire_Bolivia_point_3950.png,Bolivia,-13.9118,-63.1814,2024-07-18T13:37:00
19,no_fire_Bolivia_point_3951.png,Bolivia,-13.9132,-63.1718,2023-12-01T13:37:00
20,no_fire_Bolivia_point_3954.png,Bolivia,-14.2113,-62.7834,2023-07-24T13:37:00
21,no_fire_Bolivia_point_3955.png,Bolivia,-14.2189,-62.7941,2024-05-29T13:37:00
22,no_fire_Bolivia_point_3956.png,Bolivia,-14.2203,-62.7848,2024-06-28T13:37:00
23,no_fire_Bolivia_point_3959.png,Bolivia,-14.3617,-62.5762,2023-05-10T13:37:00
